102034	二甲基砜（医药级）	2010.01.11	2010.03.11 09:11:12	0	3000.00	10
101032	2-氯-6-甲基苯胺	2010.01.11	2010.03.12 09:11:12	1	46.00	151
502033	噻螨酮	2010.01.11	2010.03.20 09:11:12	0	1000.00	2500
131124	S-甲基异硫脲硫酸盐	2010.01.11	2010.03.11 09:11:12	0	100.00	153
247614	二甲基砜MSM	2010.02.12	2010.03.11 09:11:12	1	230900.00	151
485657	D-核糖	2010.02.12	2010.03.11 09:11:12	1	4000.00	20
384756	那格列奈	2010.02.12	2010.03.12 09:11:12	0	10.00	0
091929	2-氯丙烯腈	2010.02.12	2010.03.21 09:11:12	1	0.90	10000
081928	扎来普隆	2010.2.28	2010.03.21 09:11:12	0	611.00	20
112938	L-谷氨酰胺	2010.2.28	2010.03.21 09:11:12	0	2990.90	23
